filename	tags
Eisinger_Eigenstaendigkeit-_190305.pdf	Inspiration;Innenentwicklung
UN Report.pdf	Klima;Klimaadaption
cd2030-hebllexikon-211121-de.pdf	Inspiration;Innenentwicklung
0300_DasMagazin_Willkommen_in_AggloCity.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-ISOS und Verdichtung sind kompatibel.pdf	Dichte;Innenentwicklung
hochparterre-ch-Fünf Facetten für die Collage.pdf	wichtig;Inspiration;Innenentwicklung
eidgenoessische_volkszaehlung2000dieraumgliederungenderschweizbf.pdf	
ARE_ZH_Akzeptanz_der_Dichte_2014.pdf	Dichte;wichtig;Innenentwicklung
hochparterre-ch-Neue Schweizerkarten 2.pdf	
Collage_3_25_Autoren_PDF.pdf	wichtig
nzz-ch-Die Krise der Schweizer Raumplanung Warum Fortschritt scheitert.pdf	wichtig;Inspiration;Innenentwicklung
10_Peter_RaWi2016_Akzeptanz_der_Dichte.pdf	Dichte;Innenentwicklung
Semesterarbeit_dominicb_final_submission.pdf	Innenentwicklung
Aktionsplan.pdf	
hochparterre-ch-Wald in der Stadt.pdf	Innenentwicklung
hochparterre-ch-Poesie statt Planimetrie.pdf	Innenentwicklung
2021-09-11-PP-Referat-Verdichtung+Hochhaus-QV5Industrie_DEF 3.pdf	Dichte;Innenentwicklung
verdichtetes-bauen-in-ortszentren-foerdern-aber-wie-de.pdf	Innenentwicklung
kurath_d.pdf	Referenz;Inspiration;Innenentwicklung
hochparterre-ch-Karten anders lesen.pdf	Inspiration;Innenentwicklung
190308_Aebi_Stadtplanung_Rolle_der_öffentl_Hand_Raumentwicklung_VL.pdf	Innenentwicklung
hochparterre-ch-Fröhliches Weiterbauen auf der grünen Wiese.pdf	Dichte;Referenz;Inspiration;Innenentwicklung
190309_Scherer_Standortmanagement_und_Regionalentwicklung_VL.pdf	Innenentwicklung
Hunziker_Praxishandbuch_REV.pdf	Innenentwicklung
hochparterre-ch-Umnutzen statt neubauen.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Neuer Wohnraum für  Millionen Menschen  allein durch Innenentwicklung.pdf	Wohnen
9783987261169.pdf	Mobilität;Innenentwicklung
190323_Mosimann_Entwicklungsvereinbarungen_VL.pdf	Innenentwicklung
Leistbar und inklusiv – Wohnen an der Huebergass in Bern -.pdf	Referenz;Innenentwicklung
Vision_und_Strategie_2050.pdf	wichtig;Referenz;Innenentwicklung
2018-studie-akzeptanz.pdf	Dichte;wichtig;Innenentwicklung
trift_horgen_broschuere_bauvorhaben_oktober2018.pdf	Referenz;Innenentwicklung
20250523_Kurzbericht_DE.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Die Ökonomie des Raums.pdf	wichtig;Inspiration;Innenentwicklung
nzz.ch-Bevölkerungswachstum in der Schweiz Lokal positiv national kritisch.pdf	Dichte;Innenentwicklung
nfp65_quintessenz_de.pdf	wichtig;Inspiration;Innenentwicklung
ImpW6.pdf	wichtig;Innenentwicklung
KlimaKonkret_Karte_WEB.pdf	Klima;wichtig;Inspiration;Klimaadaption
Collage_20_1_Utopien (002).pdf	wichtig;Inspiration;Innenentwicklung
VanWezemael_Collage_20_1_Utopien.pdf	Inspiration;Innenentwicklung
hochparterre-ch-Vom Rand her denken.pdf	wichtig;Inspiration;Innenentwicklung
10-Millionen-Schweiz_ hohes Bevölkerungswachstum auf dem Land.pdf	Klima;wichtig;Innenentwicklung
Christian_Schmid.pdf	Dichte;Inspiration;Innenentwicklung
die-stadt-von-uebermorgen_trendmolekuele-einzeltrends-und-faktenblaetter.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Die Stadt ist ein Park ist eine Stadt.pdf	Lila
hochparterre-ch-Endlich Landschaft.pdf	Innenentwicklung
hochparterre-ch-Was werden wir geplant haben.pdf	wichtig;Inspiration;Innenentwicklung
materialien_3x3_140828.pdf	wichtig;Innenentwicklung
tak-bericht_internationale_wettbewerbsfähigkeit_2010-06-25.pdf	wichtig;Innenentwicklung
Urbane Potentiale und Strategien in Metropolitanen Territorien_Angelil.pdf	wichtig;Innenentwicklung
Nach-Hause_kommen_Online-Version.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Raumkonzept  Die Reaktionen aus der Fachwelt.pdf	wichtig;Inspiration
Lebendige_Peripherien.pdf	wichtig;Innenentwicklung
190309_Erath_Mobilität_und_Logistik_in_der_Zukunft_erganzt.pdf	Innenentwicklung
11621-Buch_Nachhaltige_Areale_Quartiere_web.pdf	Innenentwicklung
MPF von 0 auf 100 Szenarien.pdf	
Siedlungsentwicklung_nach_innen_Leitfaden_d.pdf	Dichte;wichtig;Referenz;Inspiration;Innenentwicklung
180514_Heye_Stadtsoziologie_VL.pdf	Innenentwicklung
50_Jahre_KPK_Bildschirmversion_de.pdf	Inspiration;Innenentwicklung
City-of-People_auf-dem-Weg-zur-lebenswerten-Stadt.pdf	
hochparterre-ch- Tipps für die Klimaraumplanung 2.pdf	Inspiration
hochparterre-ch-Ökologische Grenzen statt Bevölkerungsszenarien.pdf	wichtig;Inspiration;Innenentwicklung
archplus183_20_SI SU.pdf	Inspiration;Innenentwicklung
200827_Stadtklima-Brochure-Final.pdf	Innenentwicklung
NachhaltigkeitinSondernutzungsplanungen.pdf	Innenentwicklung
hochparterre-ch-Planen für das gute Leben.pdf	Innenentwicklung
Zuerich_2040.pdf	Referenz;Innenentwicklung
190323_Thoma_Organisationsmodelle_der_Innenentwicklung_VL.pdf	Innenentwicklung
metron_dichtebox.pdf	Dichte;wichtig;Inspiration;Innenentwicklung
RU_17_03.pdf	
Megatrends Rat für Raumordnung.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Die Aushöhlung.pdf	wichtig;Inspiration
Du904_Stadtplanung_final.pdf	wichtig;Inspiration;Innenentwicklung
Auszug Mehrwertausgleich - Inforaum-D-3-2025.pdf	Innenentwicklung
Netzwerk-Zukunftsorte_Kriterien_250820.pdf	wichtig;Innenentwicklung
umgang-mit-dem-klimawandel-im-kantonalen-richtplan.pdf	
hochparterre-ch-Schmiermittel für die Verdichtung.pdf	Dichte;Innenentwicklung
hochparterre-ch-Eine Roadmap für .pdf	Inspiration;Innenentwicklung
20250523_Synthesebericht_DE.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Neue Schweizerkarten.pdf	wichtig;Innenentwicklung
Switzerland_191024_final.pdf	wichtig;Inspiration;Innenentwicklung
02-ROR_Lebendige-Peripherienpdf.pdf	Inspiration;Innenentwicklung
Rechsteiner - 2012 - Hundert Prozent Erneuerbar. Foliensatz - Unknown.pdf	Energie
02_HSLU-Wellig-Betriebstemperaturen-und-Effizienz-von-WP.pdf	Low Tech;wichtig;Inspiration
20231206_SES-Studie_Energiesuffizienz.pdf	Energie
Die volkswirtschaftliche Bedeutung der Immobilienwirtschaft der Schweiz.pdf	wichtig;Ökonomie;Gebäude;Betriebsenergie
Low-Tech_Sommerlicher_Wärmeschutz_online.pdf	Low Tech;Gebäude
optipower_bfe_schlussbericht_final.pdf	Low Tech;Gebäude
wallbaum h nachhaltig bauen.pdf	wichtig;Gebäude
03 Research.pdf	Energie
02_FEZ_Folien_Event5_Thury_20240409.pdf	Ökonomie;Gebäude
Gebäudepolitik_2050-PLUS_D_20220826.pdf	Klima
03_Markovic_Konstruktionsentscheide.pdf	Baustoffe;Referenz
02_FEZ_Folien_Event3_Habert_20240206.pdf	Graue Energie;Inspiration
Komponierte Hybride _ ZHAW Institut Konstruktives Entwerfen IKE.pdf	Baustoffe
Bundesamt für Energie BFE - 2018 - Gebäudepark 2050. Vision des BFE - Unknown(2).pdf	Klima
ETH_Zurich_ESC_Whitepaper_Versorgungssicherheit.pdf	Energie
01_FEZ_Folien_Event3_Naef_20240206.pdf	Graue Energie;Inspiration
250513-Pra-sentation-Maneco.pdf	Re-use
02_Alec_von_Graffenried_Stadtpraesident_Bern.pdf	Klima;Referenz;Inspiration;Klimaadaption
Und das ist die gute Nachricht_ die Welt ist gebaut. - Die gute Nachricht.pdf	wichtig;Graue Energie;Gebäude
2019_ausblick_auf_moegliche_entwicklungen_von_wp-anlagen_bis_2050.pdf	Low Tech;wichtig
Labels und Standards.pdf	Gebäude
Das fast autarke Bürogebäude GHC Solare...ar AWEL Kt. Zürich - PDF Free Download Kopie.pdf	Low Tech
CUREM Technik u Energie Vorlesung Block III.pdf	Klima;Gebäude
2021-11-Landkarte_Standards-und-Labels_web.pdf	wichtig;Gebäude
FEZ_UpToDate03_Folien_Meier_20240307.pdf	Low Tech;Energie
2013-11-Studie-Politische-Instrumente-zur-Gebaeudesanierung.pdf	wichtig;Gebäude
11867-2024.09.30 Schlussbericht Energetische Erneuerungsraten im Gebäudebereich 2010-2020.pdf	Gebäude
210909_Slides_PV_Schulung.pdf	
8721-eCH Graue Energie von Umbauten für Baufachleute-DE-low.pdf	wichtig;Graue Energie
suffizienz-forschung-gebaeudebereich-dl.pdf	wichtig;Gebäude;Inspiration
501452_frei_sb_parkgap.pdf	wichtig;Gebäude
01_Burgherr_Holzweg.pdf	Baustoffe;Inspiration
baug.ethz.ch-Warum traditionelle Baumaterialien im Aufwind sind.pdf	Baustoffe
Exploring-the-gap-between-carbon-budget-compatible-building_2023_Energy-and-.pdf	wichtig;Gebäude
ReUse.pdf	Referenz;Gebäude;Inspiration;Re-use
8719-eCH Graue Energie von Neubauten für Baufachleute DE-low.pdf	wichtig;Graue Energie
2023_Forum_Maneco_Alles Holzbau oder was.pdf	Baustoffe;Referenz
Marktwert_Nachhaltigkeit-vixxbn.pdf	wichtig;Ökonomie;Gebäude;Betriebsenergie
Abstimmung Energiegesetz, Faktenblatt Wärmeerzeugerersatz.pdf	Klima;wichtig;Energie
christoph-diem-leiter-klimatechnik-erich-keller-ag-kaeltemaschine-ade.pdf	Low Tech
10800-B_Schlussbericht_Hemmnissanalyse_2022_01_25.pdf	wichtig;Betriebsenergie
Reduction_Roadmap_2.0_pres en.pdf	Gebäude;Inspiration
GH_04_Studie Energiewende dank energetischem modernisieren und Solarenergie_BF,EP,ES,EB,FB,FD,SH,SA,SD_Technik_0.pdf	Low Tech
03_FEZ_Folien_Event3_Wernery_20240206.pdf	wichtig;Graue Energie
Low-Tech-Buch.pdf	Low Tech;wichtig;Gebäude
04_Lamster_Oekobilanzierung.pdf	Graue Energie
10 Faktoren, die den Wert von nachhaltigen Immobilien beeinflussen.pdf	Ökonomie;Gebäude;Betriebsenergie
210909_Script_SolarstromnutzungGebaeudepark.pdf	
240626 BFE-WP-Tagung, COP10, Präsentation Wellig.pdf	Low Tech
hochparterre-ch-Plattform für nachhaltige Architektur.pdf	wichtig;Gebäude;Inspiration
Thalmann_Philippe.pdf	wichtig;Gebäude;Inspiration;Innenentwicklung
PrsentationChristianMathys_Swissbau.pdf	wichtig;Gebäude
210504_Schlussbericht_IBH_2020_Seiten (5).pdf	Baustoffe
michael_kaufmann BFE.pdf	wichtig;Gebäude
Hochparterre Decken.pdf	Baustoffe
Nachhaltigkeitskaskade-Denkstatt.pdf	wichtig;Inspiration
Low-Tech_Komponenten_online1.pdf	Low Tech;Gebäude
Statistiken - Die gute Nachricht.pdf	wichtig;Graue Energie;Gebäude
20140828_FactSheet.pdf	wichtig;Betriebsenergie
hochparterre-ch-Einfach nur besser.pdf	wichtig;Gebäude;Inspiration
02_Kuebler_Zement.pdf	Graue Energie;Inspiration
191210_Fachtagung_2019_Teil2.pdf	Gebäude
bbsr-online-09-2023-dl.pdf	wichtig;Gebäude
Internationaler Vergleich Anteil Ölheizungen.jpg	wichtig;Betriebsenergie
02_FEZ_Folien_Event2_Stettler_20240116.pdf	Gebäude
Low-Tech_Beleuchtung_onilne.pdf	Low Tech;Gebäude
Low-Tech_Planungsprozess_online.pdf	Low Tech;wichtig;Gebäude
maneco_Bauen_fuer_die_Zukunft_icccon_LANE_230419.pdf	wichtig;Graue Energie;Gebäude;Inspiration
Performacne Gap.pdf	Gebäude
191210_Fachtagung_2019_Teil1.pdf	Gebäude
6bf11972-ccpi2022_scorecard_switzerland.pdf	Klima
01_FEZ_Folien_Event2_Keller_20230117.pdf	Klima;wichtig;Inspiration;Klimaadaption
Lenkungsabgaben führen zu effizientem Klimaschutz.pdf	Klima
Systemwettbewerb-auch-in-der-Klimapolitik-PowerPoint.pdf	Klima;wichtig;Inspiration
Chancel2021CarbonInequality-Study-Online-22-12-21.pdf	Klima
01_Dunja_Kovari_sa_partners_Stadtklima.pdf	Klima;Inspiration;Klimaadaption
Bundesamt für Statistik BFS - 2015 - Zerlegung der fossilen CO2-Emissionen der Schweiz - BFS Aktuell (verschoben).pdf	Klima
Leitbilder, Erfolgsbedingungen und Handlungsempfehlungen für eine ressourcenleichte Gesellschaft _ Z_punkt.pdf	Klima;wichtig;Inspiration
klima-risikoanalyse.pdf	Klima
12_Nipkow_SES-Fachtagung2019.pdf	Klima
ThinkTank_Praesentationen_definitives_Layout_V3.pdf	Klima;Inspiration;Klimaadaption
SBVg_Sustainable_Finance_2021 Kopie.pdf	Klima;wichtig;Ökonomie
07_Benjamin_Leimgruber_Immobilien_aktuelle_Projekte.pdf	Klima;Klimaadaption
Bundesamt für Energie (BFE) - 2018 - Energiestrategie 2050 Nach Dem Inkraft- Treten Des Neuen Energiegesetzes - Unknown.pdf	Klima
Arbeitspapier_Klima_2022.pdf	Klima;wichtig;Inspiration
Bundesamt für Umwelt BAFU - 2014 - Schweizer Klimapolitik auf einen Blick – Stand und Perspektiven auf Grundlagen des Berichts 2014 d.pdf	Klima
Schlussbericht_Handlungshilfe_Hitze.pdf	Klima;Klimaadaption
250410_Broschuere_Leitbild_-_FINAL_ONLINE_PDF.pdf	Klima;Referenz;Innenentwicklung
Grundlagenbericht ELS_2013__d.pdf	Klima
01_FEZ_Folien_Event5_Radmilovic_20240409.pdf	Klima;Inspiration
210112_klimaplan_v2_d.pdf	Klima
3_FB_InstrumenteKlimapolitik_D_online.pdf	Klima
Klima-Masterplan_Teil_Inland.pdf	wichtig;Gebäude;Energie
Bundesamt für Umwelt BAFU - 2012 - Klimapolitik der Schweiz – Umsetzung des Übereinkommens von Paris.pdf	Klima
emw_15-5_16_Uebergang vom Foerder- zum Lenkungssystem.pdf	Klima;Inspiration
Schlussbericht_NettoNull_Auswirkungen auf Mietende__(Infras2021).pdf	Klima;wichtig;Referenz
CH2018_broschure.pdf	Klima;wichtig
Seiten_24_25_Neue_Zürcher_Zeitung_2023-06-02.pdf	Klima;Inspiration
2019-08-Bericht-Kantonsrating-Gebaeude-Klimapolitik.pdf	Klima
120522_COM_Trendwende_Klima_Biodiversitaet_D_ONLINE.pdf	
3_FB_InstrumenteKlimapolitik_D_online AUSZUG.pdf	Klima;wichtig;Referenz;Gebäude
20211011 Mediengespräch MV ZürichEnergiegesetz.pdf	Klima
02_FEZ_Folien_Event1_Bucher_20210105.pdf	Klima
Aktionsplan_Anpassung_an_den_Klimawandel_in_der_Schweiz_-_2020-2025.pdf	Klima;Innenentwicklung;Klimaadaption
03_FEZ_Folien_Event1_Gessler_20210105.pdf	Klima
wuestpartner.com-Büros als Wohnraum nutzen Wie gross ist das Potenzial.pdf	Wohnen;Inspiration
hochparterre-ch-Drei Veranstaltungen zur sozialökonomischen Bauwende.pdf	Wohnen
02_FEZ_Folien_Event1_Fuhrhop_20231114.pdf	Wohnen;Inspiration
nutzungsreservenimbestand.pdf	Wohnen;wichtig
20230502_SSV_Wohnungspolitik_final_DE-3_2111.pdf	Wohnen;wichtig
01_FEZ_Folien_Event1_Tschirren_20231114.pdf	Wohnen;Inspiration;Innenentwicklung
Redetext CO2 Gesetz Sommaruga_Töngi_DE.pdf	Klima;Wohnen;wichtig;Ökonomie
20250414_DiskussionspapierSozialeNachhaltigkeit_WuestPartner-oi1s3g.pdf	Gebäude
ZHAW_2015-05_Aktuelle_Wohnungsprobleme_in_der_Schweiz__1731.pdf	Wohnen;wichtig
FPREview_Q2_2024 Nachfragesegmente.pdf	Wohnen
ThinkTank_Dichte_auf_dem_Pruefstand.pdf	Wohnen;wichtig;Inspiration;Innenentwicklung
21_GroupOfFifteen_jvw_gd_1.pdf	Wohnen;Ökonomie
tsri.ch-Pitch-Night 7 Ideen gegen die Wohnungsnot in Zürich.pdf	Wohnen;Inspiration
nzz-ch-Die Rangliste der Schweizer Gemeinden mit dem grössten Verdichtungspotenzial.pdf	Wohnen;wichtig
79d1a5b9-8833-40cf-8f7b-58b040b0a1a4.pdf	Wohnen;wichtig;Inspiration
wohnbauoffensive_basisbrosch_de-1_1868.pdf	Wohnen
88022.pdf	Wohnen;wichtig
guenstig_wohnen_technischer_bericht.pdf	Wohnen;wichtig;Ökonomie
Nachbarschaften in Genossenschaften_Schlussbericht.pdf	Wohnen;Inspiration
propertyowner.ch-Die Zukunft des Wohnens Innovative Wohnkonzepte und ihre Marktchancen in der Schweiz.pdf	Wohnen;Inspiration
190909 Verdichtung als Chance (1).pdf	Wohnen;Innenentwicklung
preisguenstiger_wohnraum-einbaukastenfuerstaedteundgemeinden.pdf	wichtig;Referenz;Inspiration;Wohnen
hochparterre-ch-Wie die Schweiz wachsen kann .pdf	Wohnen;wichtig
20161214_Bericht_Wohnungspolitischer_Dialog_D_9062.pdf	Wohnen;Innenentwicklung
preisguenstiger_wohnraummittelsraumplanerischermassnahmen.pdf	Wohnen;wichtig
Zwischen Wolkenkratzern und Zustimmung_... - NSL – Netzwerk Stadt und Landschaft.pdf	Wohnen
R&U-3-2024_dt-web.pdf	Wohnen;wichtig
houseeurope-eu-HouseEurope.pdf	Wohnen
der_gemeinnuetzige_wohnungsbau_in_der_schweiz.pdf	Wohnen;wichtig
d_Tabelle_Kantone_Mobilis_A3_240426_0.pdf	Wohnen
20240405_DensCH_White_Paper-EN.pdf	Wohnen;wichtig
Wo es sich in der Schweiz am günstigsten lebt.pdf	
2020_Sept_Zukunft Einfamilienhaus_RZU_mi.pdf	Wohnen;Referenz
20241210_Wohnnungspolitik_WP_ZH (verschoben).pdf	Wohnen;wichtig;Inspiration
a558ced0-4631-4a6a-878c-6a364ed68583.pdf	Wohnen;Inspiration
20241210_Wohnnungspolitik_WP_ZH.pdf	Wohnen;wichtig
20190409_CCTP-Innovative-Wohnformen.pdf	Wohnen;Referenz
nzz.ch-So könnte der grosse Kompromiss aussehen.pdf	Wohnen;Inspiration
The Business of Densification.pdf	Wohnen
ETH Wohnforum – ETH CASE_Dokumentation Generationenwohnen.pdf	Wohnen;wichtig
Studie_gemeinnuetziger_Wohnungsbau.pdf	Wohnen
23-1019-FAQ-Wohnen-fuer-Generationen_Druck.pdf	Wohnen;wichtig;Inspiration
Nr_55_Wohnraumfoerderung_9729.pdf	Wohnen;wichtig;Ökonomie
Wohnkostenbelastung_1677047070.pdf	Wohnen;Ökonomie
umzugsverhalten_zusammenfassung.pdf	Wohnen
GDI Studie 2018_Microliving.pdf	Wohnen;wichtig
Der_dritte_Weg_im_Wohnungsbau_9991.pdf	Wohnen;wichtig
Kommunale_kantonale_Wohnungen_2247.pdf	Wohnen
hochparterre-ch-Der falsche Sündenbock.pdf	Wohnen;wichtig
ru_13_5-web_0.pdf	Wohnen;wichtig
PreisgünstigesWohnen_EntwurfJS.pdf	Wohnen
hochparterre-ch-Mehr Lücke als Gesetz.pdf	Wohnen
